date,travel
3/21/2021,"1,543,115"
3/20/2021,"1,369,180"
3/19/2021,"1,468,516"
3/18/2021,"1,407,233"
3/17/2021,"1,140,624"
3/16/2021,"1,088,816"
3/15/2021,"1,263,990"
3/14/2021,"1,344,128"
3/13/2021,"1,223,057"
3/12/2021,"1,357,111"
3/11/2021,"1,284,271"
3/10/2021,"955,177"
3/9/2021,"823,210"
3/8/2021,"1,117,939"
3/7/2021,"1,277,719"
3/6/2021,"991,547"
3/5/2021,"1,167,551"
3/4/2021,"1,106,265"
3/3/2021,"782,727"
3/2/2021,"743,134"
3/1/2021,"1,047,418"
2/28/2021,"1,190,682"
2/27/2021,"917,282"
2/26/2021,"1,096,348"
2/25/2021,"1,051,149"
2/24/2021,"802,230"
2/23/2021,"714,725"
2/22/2021,"963,280"
2/21/2021,"1,115,479"
2/20/2021,"942,238"
2/19/2021,"1,059,452"
2/18/2021,"914,823"
2/17/2021,"773,422"
2/16/2021,"738,825"
2/15/2021,"967,693"
2/14/2021,"946,458"
2/13/2021,"900,696"
2/12/2021,"1,151,420"
2/11/2021,"1,034,514"
2/10/2021,"735,009"
2/9/2021,"617,619"
2/8/2021,"864,783"
2/7/2021,"854,636"
2/6/2021,"705,951"
2/5/2021,"868,624"
2/4/2021,"778,065"
2/3/2021,"618,615"
2/2/2021,"493,338"
2/1/2021,"628,989"
1/31/2021,"859,039"
1/30/2021,"617,489"
1/29/2021,"774,688"
1/28/2021,"750,558"
1/27/2021,"536,935"
1/26/2021,"468,933"
1/25/2021,"701,709"
1/24/2021,"838,116"
1/23/2021,"603,527"
1/22/2021,"755,028"
1/21/2021,"728,978"
1/20/2021,"542,338"
1/19/2021,"560,190"
1/18/2021,"878,048"
1/17/2021,"810,654"
1/16/2021,"690,438"
1/15/2021,"903,039"
1/14/2021,"803,688"
1/13/2021,"567,401"
1/12/2021,"520,117"
1/11/2021,"708,177"
1/10/2021,"886,536"
1/9/2021,"709,444"
1/8/2021,"772,471"
1/7/2021,"771,734"
1/6/2021,"665,855"
1/5/2021,"766,594"
1/4/2021,"1,080,346"
1/3/2021,"1,327,289"
1/2/2021,"1,192,881"
1/1/2021,"805,990"
12/31/2020,"874,406"
12/30/2020,"1,163,696"
12/29/2020,"1,019,347"
12/28/2020,"1,111,751"
12/27/2020,"1,284,599"
12/26/2020,"1,128,773"
12/25/2020,"616,469"
12/24/2020,"846,520"
12/23/2020,"1,191,123"
12/22/2020,"992,167"
12/21/2020,"954,782"
12/20/2020,"1,064,619"
12/19/2020,"1,073,563"
12/18/2020,"1,066,747"
12/17/2020,"846,934"
12/16/2020,"641,966"
12/15/2020,"552,024"
12/14/2020,"752,451"
12/13/2020,"865,014"
12/12/2020,"662,380"
12/11/2020,"787,489"
12/10/2020,"754,307"
12/9/2020,"564,372"
12/8/2020,"501,513"
12/7/2020,"703,546"
12/6/2020,"837,137"
12/5/2020,"629,430"
12/4/2020,"753,951"
12/3/2020,"738,050"
12/2/2020,"632,356"
12/1/2020,"780,283"
11/30/2020,"981,912"
11/29/2020,"1,176,091"
11/28/2020,"964,630"
11/27/2020,"820,399"
11/26/2020,"560,902"
11/25/2020,"1,070,967"
11/24/2020,"912,090"
11/23/2020,"917,354"
11/22/2020,"1,047,934"
11/21/2020,"984,369"
11/20/2020,"1,019,836"
11/19/2020,"907,332"
11/18/2020,"703,135"
11/17/2020,"611,497"
11/16/2020,"883,157"
11/15/2020,"978,297"
11/14/2020,"697,360"
11/13/2020,"881,579"
11/12/2020,"866,679"
11/11/2020,"674,633"
11/10/2020,"596,475"
11/9/2020,"836,600"
11/8/2020,"973,020"
11/7/2020,"689,951"
11/6/2020,"895,091"
11/5/2020,"867,105"
11/4/2020,"636,533"
11/3/2020,"575,829"
11/2/2020,"846,138"
11/1/2020,"936,092"
10/31/2020,"618,476"
10/30/2020,"892,712"
10/29/2020,"873,636"
10/28/2020,"666,957"
10/27/2020,"648,517"
10/26/2020,"898,735"
10/25/2020,"983,745"
10/24/2020,"755,287"
10/23/2020,"958,437"
10/22/2020,"934,386"
10/21/2020,"694,150"
